area_name,zone,rate_per_sqft,date,data_source
Lodha Splendora,Mira Road East,7380,2025-07-31,synthetic_historical
Lodha Splendora,Mira Road East,7269,2025-02-01,synthetic_historical
Lodha Splendora,Mira Road East,7159,2024-08-05,synthetic_historical
Lodha Splendora,Mira Road East,7051,2024-02-07,synthetic_historical
Lodha Splendora,Mira Road East,6945,2023-08-11,synthetic_historical
Lodha Splendora,Mira Road East,6841,2023-02-12,synthetic_historical
Lodha Splendora,Mira Road East,6738,2022-08-16,synthetic_historical
Lodha Splendora,Mira Road East,6636,2022-02-17,synthetic_historical
Lodha Splendora,Mira Road East,6536,2021-08-21,synthetic_historical
Lodha Splendora,Mira Road East,6438,2021-02-22,synthetic_historical
