transaction_id,property_id,transaction_date,listing_date,city,locality,postal_code,property_type,sale_type,buyer_type,bedrooms,bathrooms,area_sqft,price,price_per_sqft,source,source_scrape_timestamp,rera_status,builder_rating,infrastructure_score,macro_repo_rate
TRX_100011,PROP_4263,2019-01-02T00:00:00,2018-12-02T00:00:00,Mumbai,Bhayandar West,401105,Flat,Resale,Individual,2,2,872.55,6620827,7587.91,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,51,3,5.15
TRX_100012,PROP_4936,2019-01-02T00:00:00,2018-11-12T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,949.59,7308312,7696.28,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,50,9,5.15
TRX_100013,PROP_4424,2019-01-02T00:00:00,2018-10-16T00:00:00,Mumbai,Mira Road,401107,Villa,Resale,Individual,3,3,2704.42,26424930,9771.02,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,64,6,5.15
TRX_100014,PROP_4853,2019-01-02T00:00:00,2018-10-13T00:00:00,Mumbai,Dahisar,401105,Flat,Resale,Individual,2,2,984.18,10369480,10536.16,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,43,7,5.15
TRX_100015,PROP_3346,2019-01-03T00:00:00,2018-12-16T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,399.55,3138586,7855.3,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,84,8,5.15
TRX_100016,PROP_4531,2019-01-03T00:00:00,2018-11-10T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,2,2,944.18,8119146,8599.15,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,61,5,5.15
TRX_100017,PROP_3474,2019-01-03T00:00:00,2018-12-04T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,2,2,942.66,8924320,9467.17,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,82,4,5.15
TRX_100018,PROP_2861,2019-01-03T00:00:00,2018-12-09T00:00:00,Mumbai,Mira Road,401107,Villa,Resale,Institution,4,4,3727.6,37886251,10163.71,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,90,3,5.15
TRX_100019,PROP_4894,2019-01-03T00:00:00,2018-09-20T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,392.89,2793262,7109.53,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,66,6,5.15
TRX_100020,PROP_3763,2019-01-04T00:00:00,2018-11-25T00:00:00,Mumbai,Dahisar,401105,Flat,New,Individual,1,1,425.48,5303049,12463.69,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,64,7,5.15
TRX_100021,PROP_1756,2019-01-04T00:00:00,2018-09-17T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,811.57,6070732,7480.23,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,63,2,5.15
TRX_100022,PROP_1030,2019-01-04T00:00:00,2018-09-14T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Institution,1,1,384.61,2689627,6993.13,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,48,2,5.15
TRX_100023,PROP_3379,2019-01-04T00:00:00,2018-10-10T00:00:00,Mumbai,Dahisar,401105,Flat,New,Institution,1,1,491.6,5961285,12126.29,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,81,2,5.15
TRX_100024,PROP_2993,2019-01-05T00:00:00,2018-09-10T00:00:00,Mumbai,Dahisar,401105,Flat,New,Individual,3,3,1051.54,13617660,12950.21,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,61,8,5.15
TRX_100025,PROP_4482,2019-01-05T00:00:00,2018-10-18T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,1,1,483.32,3774715,7809.97,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,66,1,5.15
TRX_100026,PROP_3099,2019-01-05T00:00:00,2018-12-20T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,491.52,3947883,8031.99,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,63,3,5.15
TRX_100027,PROP_4455,2019-01-05T00:00:00,2018-09-22T00:00:00,Mumbai,Bhayandar West,401105,Flat,Resale,Individual,1,1,430.8,3129269,7263.86,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,40,7,5.15
TRX_100028,PROP_1242,2019-01-05T00:00:00,2018-11-07T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,2,2,773.17,6064356,7843.5,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,40,1,5.15
TRX_100029,PROP_3822,2019-01-06T00:00:00,2018-11-10T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,1,1,471.49,3816900,8095.4,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,53,2,5.15
TRX_100030,PROP_1685,2019-01-06T00:00:00,2018-12-20T00:00:00,Mumbai,Bhayandar West,401105,Flat,Resale,Individual,3,3,1346.45,10269761,7627.29,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,87,5,5.15
TRX_100031,PROP_2635,2019-01-06T00:00:00,2018-11-19T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,2,2,982.39,7071684,7198.45,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,81,4,5.15
TRX_100032,PROP_2440,2019-01-06T00:00:00,2018-10-04T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,402.56,3274897,8135.18,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,68,3,5.15
TRX_100033,PROP_2498,2019-01-07T00:00:00,2018-10-20T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,1,1,359.27,2544201,7081.58,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,59,8,5.15
TRX_100034,PROP_2415,2019-01-07T00:00:00,2018-10-21T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,2,2,743.7,5963893,8019.22,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,72,9,5.15
TRX_100035,PROP_2412,2019-01-07T00:00:00,2018-12-17T00:00:00,Mumbai,Bhayandar West,401105,Studio,Resale,Individual,0,1,263.91,1869421,7083.55,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,84,2,5.15
TRX_100036,PROP_1572,2019-01-07T00:00:00,2018-11-19T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,1,1,359.08,2926244,8149.28,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,78,6,5.15
TRX_100037,PROP_2991,2019-01-07T00:00:00,2018-12-02T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,360.49,2465075,6838.12,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,59,9,5.15
TRX_100038,PROP_3919,2019-01-08T00:00:00,2018-11-07T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,933.92,7051528,7550.46,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,88,7,5.15
TRX_100039,PROP_3747,2019-01-08T00:00:00,2018-11-23T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,960.5,7469272,7776.44,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,56,6,5.15
TRX_100040,PROP_4540,2019-01-08T00:00:00,2018-11-29T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,3,3,1133.99,10272209,9058.47,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,69,9,5.15
TRX_100041,PROP_2431,2019-01-08T00:00:00,2018-12-19T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,3,3,1286.27,9665373,7514.26,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,52,7,5.15
TRX_100042,PROP_3566,2019-01-08T00:00:00,2018-11-09T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,448.37,3416966,7620.86,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,61,2,5.15
TRX_100043,PROP_2212,2019-01-09T00:00:00,2018-11-01T00:00:00,Mumbai,Bhayandar West,401105,Villa,Resale,Individual,4,4,2632.1,23760525,9027.21,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,77,7,5.15
TRX_100044,PROP_3642,2019-01-09T00:00:00,2018-10-12T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,975.77,7654814,7844.9,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,77,6,5.15
TRX_100045,PROP_4422,2019-01-09T00:00:00,2018-09-22T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,2,2,713.95,5231975,7328.21,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,48,3,5.15
TRX_100046,PROP_3330,2019-01-10T00:00:00,2018-11-02T00:00:00,Mumbai,Bhayandar West,401105,Flat,New,Individual,2,2,917.88,7074549,7707.49,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,67,1,5.15
TRX_100047,PROP_2659,2019-01-10T00:00:00,2018-10-03T00:00:00,Mumbai,Bhayandar East,401105,Flat,New,Individual,1,1,464.33,3820311,8227.58,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,62,1,5.15
TRX_100048,PROP_4228,2019-01-10T00:00:00,2018-10-31T00:00:00,Mumbai,Mira Road,401107,Studio,New,Institution,0,1,292.24,2601626,8902.36,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,62,9,5.15
TRX_100049,PROP_1598,2019-01-10T00:00:00,2018-10-02T00:00:00,Mumbai,Dahisar,401105,Flat,Resale,Individual,2,2,989.9,11292781,11408.0,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,71,9,5.15
TRX_100050,PROP_3195,2019-01-10T00:00:00,2018-10-25T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,3,3,1335.48,11012859,8246.37,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,56,5,5.15
TRX_100051,PROP_1069,2019-01-10T00:00:00,2018-12-26T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,753.31,5374857,7134.99,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,79,2,5.15
TRX_100052,PROP_2393,2019-01-11T00:00:00,2018-12-07T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,1,1,414.38,3734136,9011.38,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,77,3,5.15
TRX_100053,PROP_4659,2019-01-11T00:00:00,2018-12-08T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,930.79,6305645,6774.51,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,82,6,5.15
TRX_100054,PROP_2649,2019-01-11T00:00:00,2018-10-16T00:00:00,Mumbai,Dahisar,401105,Studio,New,Individual,0,1,283.29,3655212,12902.72,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,67,8,5.15
TRX_100055,PROP_2538,2019-01-11T00:00:00,2018-09-28T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,877.48,6432462,7330.61,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,60,9,5.15
TRX_100056,PROP_3281,2019-01-11T00:00:00,2018-11-29T00:00:00,Mumbai,Bhayandar West,401105,Flat,New,Individual,2,2,962.93,8387686,8710.59,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,93,6,5.15
TRX_100057,PROP_3726,2019-01-11T00:00:00,2018-11-15T00:00:00,Mumbai,Bhayandar West,401105,Villa,Resale,Individual,4,4,3226.66,30636218,9494.72,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,84,5,5.15
TRX_100058,PROP_4682,2019-01-12T00:00:00,2018-09-23T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,400.17,3182568,7953.04,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,80,1,5.15
TRX_100059,PROP_3683,2019-01-12T00:00:00,2018-11-14T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,2,2,891.28,6255989,7019.11,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,91,7,5.15
TRX_100060,PROP_1466,2019-01-12T00:00:00,2018-10-25T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,813.82,5948281,7309.09,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,94,5,5.15
TRX_100061,PROP_1556,2019-01-12T00:00:00,2018-12-26T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,3,3,1123.46,8070319,7183.45,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,69,1,5.15
TRX_100062,PROP_1893,2019-01-12T00:00:00,2018-09-24T00:00:00,Mumbai,Mira Road,401107,Studio,Resale,Individual,0,1,257.48,2017714,7836.39,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,84,5,5.15
TRX_100063,PROP_1835,2019-01-12T00:00:00,2018-12-09T00:00:00,Mumbai,Dahisar,401105,Flat,Resale,Individual,1,1,419.35,3989881,9514.44,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,58,4,5.15
TRX_100064,PROP_2310,2019-01-12T00:00:00,2018-10-09T00:00:00,Mumbai,Dahisar,401105,Flat,Resale,Individual,2,2,746.15,8035483,10769.26,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,85,4,5.15
TRX_100065,PROP_1617,2019-01-12T00:00:00,2018-11-22T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,932.98,7525694,8066.3,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,89,8,5.15
TRX_100066,PROP_2317,2019-01-12T00:00:00,2018-11-21T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,356.23,2432175,6827.54,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,90,2,5.15
TRX_100067,PROP_2504,2019-01-13T00:00:00,2018-10-17T00:00:00,Mumbai,Bhayandar West,401105,Flat,Resale,Individual,2,2,754.79,5072055,6719.82,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,62,9,5.15
TRX_100068,PROP_1133,2019-01-13T00:00:00,2018-11-15T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,713.18,5046073,7075.46,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,45,3,5.15
TRX_100069,PROP_1007,2019-01-13T00:00:00,2018-09-28T00:00:00,Mumbai,Bhayandar West,401105,Flat,Resale,Individual,3,3,1344.38,10367971,7712.08,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,58,6,5.15
TRX_100070,PROP_3075,2019-01-13T00:00:00,2018-11-18T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,2,2,852.92,8086393,9480.83,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,43,2,5.15
TRX_100071,PROP_1782,2019-01-13T00:00:00,2018-11-14T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,2,2,950.02,7592788,7992.24,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,88,9,5.15
TRX_100072,PROP_4806,2019-01-13T00:00:00,2018-10-31T00:00:00,Mumbai,Bhayandar West,401105,Flat,New,Individual,1,1,465.26,3523443,7573.06,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,62,1,5.15
TRX_100073,PROP_4591,2019-01-14T00:00:00,2018-09-26T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,928.72,6313930,6798.53,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,44,8,5.15
TRX_100074,PROP_2333,2019-01-14T00:00:00,2018-12-18T00:00:00,Mumbai,Dahisar,401105,Flat,New,Individual,3,3,1200.79,14722101,12260.35,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,72,3,5.15
TRX_100075,PROP_4717,2019-01-14T00:00:00,2018-11-30T00:00:00,Mumbai,Dahisar,401105,Flat,Resale,Individual,2,2,936.24,10217074,10912.88,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,51,6,5.15
TRX_100076,PROP_1540,2019-01-14T00:00:00,2018-10-24T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,3,3,1325.66,10270966,7747.81,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,75,3,5.15
TRX_100077,PROP_3674,2019-01-14T00:00:00,2018-10-30T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,2,2,953.9,7848723,8228.04,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,91,6,5.15
TRX_100078,PROP_4565,2019-01-15T00:00:00,2018-11-13T00:00:00,Mumbai,Dahisar,401105,Flat,New,Individual,2,2,982.7,11186922,11383.86,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,68,1,5.15
TRX_100079,PROP_2057,2019-01-15T00:00:00,2018-12-14T00:00:00,Mumbai,Dahisar,401105,Flat,New,Individual,1,1,486.17,5360857,11026.71,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,53,7,5.15
TRX_100080,PROP_3054,2019-01-15T00:00:00,2018-10-18T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Institution,1,1,434.77,3354774,7716.2,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,46,6,5.15
TRX_100081,PROP_3087,2019-01-15T00:00:00,2018-11-09T00:00:00,Mumbai,Bhayandar West,401105,Studio,Resale,Individual,0,1,328.43,2186869,6658.55,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,82,7,5.15
TRX_100082,PROP_4401,2019-01-15T00:00:00,2018-12-14T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,819.56,5653706,6898.47,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,87,5,5.15
TRX_100083,PROP_1908,2019-01-16T00:00:00,2018-11-12T00:00:00,Mumbai,Mira Road,401107,Studio,Resale,Individual,0,1,271.48,1981590,7299.21,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,93,8,5.15
TRX_100084,PROP_3109,2019-01-16T00:00:00,2018-11-22T00:00:00,Mumbai,Bhayandar West,401105,Flat,New,Individual,2,2,881.99,6616658,7501.96,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,81,9,5.15
TRX_100085,PROP_4157,2019-01-16T00:00:00,2018-09-23T00:00:00,Mumbai,Mira Road,401107,Studio,Resale,Individual,0,1,374.06,2815682,7527.35,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,59,9,5.15
TRX_100086,PROP_4796,2019-01-16T00:00:00,2018-09-27T00:00:00,Mumbai,Dahisar,401105,Flat,Resale,Individual,2,2,968.45,9477774,9786.54,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,86,6,5.15
TRX_100087,PROP_4187,2019-01-17T00:00:00,2018-09-24T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,905.81,7476481,8253.92,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,76,8,5.15
TRX_100088,PROP_4648,2019-01-17T00:00:00,2018-10-28T00:00:00,Mumbai,Bhayandar East,401105,Studio,Resale,Individual,0,1,319.86,2325985,7271.88,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,53,7,5.15
TRX_100089,PROP_2320,2019-01-17T00:00:00,2018-10-30T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,1,1,396.14,3408239,8603.62,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,73,5,5.15
TRX_100090,PROP_3426,2019-01-17T00:00:00,2018-10-12T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,717.85,5501957,7664.49,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,94,7,5.15
TRX_100091,PROP_4753,2019-01-17T00:00:00,2018-12-28T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,2,2,854.92,6879078,8046.46,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,80,1,5.15
TRX_100092,PROP_4699,2019-01-17T00:00:00,2018-10-21T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,897.94,7356672,8192.83,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,80,5,5.15
TRX_100093,PROP_1321,2019-01-17T00:00:00,2018-11-27T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,751.45,5499939,7319.1,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,62,4,5.15
TRX_100094,PROP_4699,2019-01-17T00:00:00,2018-12-22T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,1,1,381.66,3249761,8514.81,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,78,5,5.15
TRX_100095,PROP_1732,2019-01-18T00:00:00,2018-10-15T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,485.66,3397380,6995.39,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,79,7,5.15
TRX_100096,PROP_2418,2019-01-18T00:00:00,2018-10-05T00:00:00,Mumbai,Bhayandar West,401105,Flat,Resale,Individual,2,2,809.39,5328488,6583.34,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,44,5,5.15
TRX_100097,PROP_2380,2019-01-19T00:00:00,2019-01-03T00:00:00,Mumbai,Mira Road,401107,Studio,Resale,Individual,0,1,387.77,3046264,7855.85,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,72,2,5.15
TRX_100098,PROP_4633,2019-01-19T00:00:00,2018-11-13T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,2,2,896.82,7656901,8537.83,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,87,5,5.15
TRX_100099,PROP_3886,2019-01-19T00:00:00,2018-12-11T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,895.5,7196637,8036.45,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,83,2,5.15
TRX_100100,PROP_3466,2019-01-19T00:00:00,2018-12-08T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,2,2,934.56,8130881,8700.22,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,49,2,5.15
TRX_100101,PROP_4549,2019-01-19T00:00:00,2018-11-21T00:00:00,Mumbai,Mira Road,401107,Villa,Resale,Institution,4,4,2742.88,25654399,9353.09,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,49,8,5.15
TRX_100102,PROP_2359,2019-01-19T00:00:00,2018-11-29T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,1,1,464.66,4163353,8960.0,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,50,2,5.15
TRX_100103,PROP_4662,2019-01-19T00:00:00,2018-09-26T00:00:00,Mumbai,Mira Road,401107,Villa,Resale,Individual,5,5,3694.61,35929253,9724.78,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,58,2,5.15
TRX_100104,PROP_3067,2019-01-19T00:00:00,2018-12-19T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,1,1,490.59,3977990,8108.58,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,90,1,5.15
TRX_100105,PROP_3459,2019-01-19T00:00:00,2018-10-28T00:00:00,Mumbai,Bhayandar West,401105,Flat,Resale,Individual,2,2,795.32,5440145,6840.2,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,74,3,5.15
TRX_100106,PROP_2914,2019-01-19T00:00:00,2018-11-10T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,415.15,2969373,7152.53,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,54,7,5.15
TRX_100107,PROP_1548,2019-01-19T00:00:00,2018-11-08T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,775.43,5761805,7430.46,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,66,1,5.15
TRX_100108,PROP_2282,2019-01-19T00:00:00,2018-10-14T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,2,2,748.49,6022839,8046.65,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,44,1,5.15
TRX_100109,PROP_1604,2019-01-19T00:00:00,2019-01-01T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,440.85,3531022,8009.58,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,87,7,5.15
